Set,PPG-MAE,BCG-MAE,rPPG-MAE,PPG-SDE,BCG-SDE,rPPG-SDE,PPG-MSE,BCG-MSE,rPPG-MSE,PPG-RMSE,BCG-RMSE,rPPG-RMSE,PPG-PCC,BCG-PCC,rPPG-PCC
s01,0.030145883,2.585179626,0.052587236,0.036602525,2.546210623,0.064080795,0.00138877,11.15808432,0.004107044,0.037266207,3.340371883,0.064086225,0.999977171,0.919722567,0.999915744
s01_talk,0.071918024,7.689251898,1.337620688,0.094303951,2.653729494,1.473383408,0.009785499,66.16687498,2.683574779,0.098921681,8.134302366,1.638162012,0.999820047,0.857260481,0.955186904
s02,0.028719148,1.331771857,0.407749025,0.035815226,1.531713481,0.728100106,0.00129901,2.647811418,0.682673093,0.036041781,1.627209703,0.826240336,0.999974341,0.951601718,0.989338901
s02_talk,0.039672435,2.008751549,2.607679494,0.049507609,2.273106425,2.524928973,0.002498422,5.930109364,13.17145578,0.049984216,2.435181588,3.62925003,0.999890476,0.789461022,0.842731972
s03,0.017891717,1.14422812,1.021064177,0.024338136,0.676200496,0.915653366,0.000605256,1.766505102,1.865676316,0.024601952,1.329099357,1.365897623,0.999937947,0.98180783,0.907398492
s03_talk,1.077802506,6.610607458,3.080322469,1.401778652,2.489935443,2.487923479,3.098229965,49.89990948,15.21433076,1.760178958,7.063986798,3.900555186,0.807018137,0.745930318,0.857952236
s04,0.028625506,7.05797672,1.019148999,0.040348857,2.911639418,0.984325608,0.001641426,58.29267949,1.989219629,0.040514512,7.634964275,1.410396976,0.999888233,0.70312132,0.954584571
s04_talk,0.031111372,7.898392817,2.648674167,0.033996755,3.19392441,2.673993997,0.001428475,72.58576223,14.0765176,0.037795171,8.519727826,3.751868547,0.99985797,0.62362574,0.484370351
s05,0.018523284,0.70538658,0.092944814,0.015628141,0.241603205,0.113824353,0.000571752,0.555942336,0.013768648,0.023911336,0.745615408,0.117339883,0.999993827,0.999496681,0.999701932
s05_talk,0.022230626,2.171884538,0.429390505,0.028756316,2.44721402,0.745287267,0.000936821,8.158917067,0.725807939,0.030607527,2.856381814,0.851943624,0.999981226,0.902002178,0.985787906
s06,0.043441879,9.060230273,1.170540055,0.051598596,3.803946805,1.058046516,0.002818839,96.55778388,2.430591892,0.053092744,9.826382034,1.559035565,0.999862291,0.529000702,0.939956663
s06_talk,0.045088021,8.386717121,0.031840606,0.047351083,6.887705728,0.037800324,0.003173723,84.70352543,0.001570894,0.056335804,9.203451821,0.0396345,0.999957114,-0.003550977,0.999973498
s07,0.013413909,1.170241087,0.055865639,0.012680664,1.20589215,0.07590589,0.000291712,1.955138686,0.005786411,0.017079583,1.398262738,0.07606846,0.999993359,0.933908486,0.999753852
s07_talk,0.401630295,2.446285786,2.398685843,0.701683419,1.602985566,1.901977376,0.62698029,8.553876872,9.363547375,0.79182087,2.92470116,3.059991401,0.981169242,0.913431854,0.851822888
s08,0.043098937,11.70832403,4.556623794,0.041291779,4.9165658,2.92297314,0.002818979,161.2574709,29.30659238,0.053094056,12.69871926,5.413556352,0.999860008,0.468215461,0.060708373
s08_talk,0.063996557,14.61304043,6.058421577,0.087861543,4.264947814,5.165762268,0.007745464,231.7307305,63.38957181,0.088008318,15.22270444,7.96175683,0.99977284,0.570789923,0.106041404
s09,0.038157384,1.370267506,6.31303488,0.046807702,0.733362283,2.194116732,0.002193176,2.415453276,44.66855763,0.046831355,1.554172859,6.683454019,0.99981738,0.982195803,0.850375664
s09_talk,0.36379327,2.725307297,2.820536856,0.659990219,2.914008094,3.26531433,0.546078144,10.83338607,11.04551779,0.738971003,3.291410955,3.323479771,0.99513976,0.815130283,0.751225203
s10,0.030392382,0.918207419,0.956646206,0.028542673,1.077866195,1.172465149,0.001303304,1.162993425,1.748332201,0.036101303,1.078421729,1.322245137,0.999959375,0.939969878,0.959005072
s100,0.033241491,1.979838627,0.051902374,0.042427049,1.29024557,0.063379591,0.001806826,5.58449462,0.004194228,0.042506774,2.363153533,0.064762856,0.999915293,0.973936367,0.999806353
s100_talk,0.043253242,2.593361125,2.313982066,0.053637588,3.063296459,2.549792169,0.002894472,12.04690692,10.15441043,0.053800295,3.470865443,3.186598567,0.999914249,0.699489315,0.767757827
s101,0.023576372,1.085922032,0.267099174,0.029680592,0.423512248,0.422104063,0.000882137,1.252236567,0.179619114,0.029700795,1.119033765,0.423814953,0.999970261,0.998792735,0.994021456
s101_talk,0.383828379,9.80921899,4.94546585,0.726100175,4.340047181,2.774569036,0.658800134,115.0567867,32.14297398,0.811665038,10.72645266,5.669477399,0.991992733,0.657425603,0.890877337
s102,0.025188346,13.53244864,8.719468887,0.030476459,3.800166827,4.153221843,0.000947851,197.568434,93.27838935,0.030787194,14.05590389,9.658073791,0.999991583,0.90258842,0.830614436
s102_talk,0.031416334,22.72423853,12.68031809,0.036409029,4.202626049,2.965390887,0.00138203,534.0530825,169.5840099,0.037175659,23.10958854,13.02244255,0.999982372,0.720694889,0.872133838
s103,0.034045419,3.141577584,4.508594641,0.045483544,1.456279496,1.944362689,0.002073799,11.99025969,24.1079719,0.045538981,3.462695437,4.909986956,0.999786279,0.832914661,0.705504318
s103_talk,0.022960319,8.311898703,4.024085273,0.025915518,3.536771061,2.465294797,0.000779404,81.5964096,22.26291951,0.027917814,9.033073098,4.718359833,0.999932039,0.661377347,0.627907116
s104,0.037076563,1.791505445,3.06422076,0.04426042,1.167032206,3.742344564,0.001981571,4.57145593,23.27063684,0.044514844,2.138096333,4.823964846,0.999899758,0.925612069,0.274150623
s104_talk,0.052309603,6.617495395,4.376463659,0.064386457,2.437483308,3.92095157,0.004239191,49.73257018,34.50592608,0.065109073,7.052132315,5.874174502,0.99980771,0.822486857,0.796163524
s105,18.61460779,3.90188811,11.03509069,3.977730081,4.518069698,4.737593649,362.3259598,30.87461307,144.2180201,19.0348617,5.556492875,12.00908073,-0.030811915,0.290741565,0.615101277
s105_talk,8.138478061,12.4542563,13.37726426,6.263662281,3.338605815,3.709555248,105.4682903,166.2547888,192.7119993,10.26977557,12.89398266,13.88207475,-0.590641479,0.605439496,0.661473252
